MLSID,Address,Subdivision,Price,SqFt,Bedrooms,BathsFull,BathsHalf,DaysOnMarket,Agent,Firm
R122250S,2561 SALFORD STREET,COTSWOLDS,267000,2492,3,2,1,33,A84,F155 
R117797S,2639 MIMMS LANE,MIMMS TRAIL,267000,1851,3,2,0,101,A101,F132 
N115240S,2093 COVEY DRIVE,PRESERVE,266967,1971,3,2,1,158,A53,F96 
N117367S,2358 SNOWSHILL LANE,COTSWOLDS,266640,2682,4,2,1,0,A84,F155 
N117052S,1558 NORTH CAMDEN DRIVE,DONAHUE RIDGE,266428,3056,4,2,1,45,A99,F96 
R117462S,1963 SAINT CHARLES COURT,WRIGHTS MILL ESTATES,265500,2098,4,3,0,3,A137,F177 
R120913S,747 E MAGNOLIA AVENUE,BURTON WOODS,265000,3001,6,4,0,4,A138,F39 
R122626S,1939 SEQUOIA DRIVE,PRESERVE,265000,2112,4,2,1,5,A11,F177 
R119390S,136 CARRIAGE HOUSE LANE,WOODLAND PARK,265000,2448,4,2,1,6,A65,F177 
R117430S,1853 JOYE  PASS,MORGAN HILLS,265000,2228,4,2,0,14,A121,F155 
R119400S,198 VALENTINO COURT,TIVOLI,265000,2257,3,2,1,17,A24,F177 
R120843S,1800 TRAIL RIDGE ROAD,CAMDEN RIDGE,265000,2083,3,2,0,26,A120,F96 
R122915S,413 CARY DRIVE,CARY PARK,265000,1839,3,2,0,49,A24,F177 
R120687S,758 SHELTON COVE LANE,SHELTON COVE,265000,2227,4,2,1,83,A139,F39 
R117756S,2473 MIMMS LANE,MIMMS TRAIL,265000,1900,3,2,0,100,A97,F360 
N120620S,1675 Overhill COURT,HIGHLANDS,265000,1869,3,2,0,189,A8,F96 
N120854S,994 W RICHLAND CIRCLE,WEST RICHLAND,264900,2587,4,2,1,151,A91,F529 
N117679S,2375 SNOWSHILL LANE,COTSWOLDS,264300,2614,4,3,0,0,A84,F155 
N115397S,707 SHELTON COVE LANE,SHELTON COVE,264126,2407,4,3,1,1,A53,F96 
R117443S,2301 RIVERWOOD DRIVE,MOORES MILL,264000,2100,4,2,0,64,A140,F360 
N119358S,2411 SNOWSHILL LANE,COTSWOLDS,263756,2614,4,3,0,0,A81,F155 
R122471S,109 CAROLINA COURT,CHARLESTON PLACE,263000,1980,3,2,1,19,A40,F516 
P120875S,2304 SNOWSHILL LANE,COTSWOLDS,262473,2682,4,2,1,0,A81,F155 
P116971S,1734 EASTON COURT,EAST LAKE,262409,2422,3,2,1,1,A7,F177 
R117278S,808 BERRY LANE,GROVE HILL,262350,2006,4,2,0,13,A24,F177 
N116632S,1960 KARLA COURT,DONAHUE RIDGE,262249,2968,4,3,1,26,A84,F155 
N117652S,2352 SNOWSHILL LANE,COTSWOLDS,262241,2613,4,3,0,1,A81,F155 
N117464S,2370 SNOWSHILL LANE,COTSWOLDS,262095,2614,4,3,0,0,A84,F155 
R116734S,2093 KEYSTONE DRIVE,CAMDEN RIDGE,262000,2070,4,3,0,32,A22,F312 
N117155S,955 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,262000,2255,3,3,1,40,A130,F490 
R122618S,893 TULANE ROAD,SHELTON WOODS,262000,2703,4,3,0,72,A84,F545 
S114229S,933 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,261171,2347,5,3,0,124,A49,F177 
N117526S,2346 SNOWSHILL LANE,COTSWOLDS,260999,2682,4,2,1,19,A84,F155 
R117263S,1753 Post Oak COURT,CAMDEN RIDGE,260500,2740,5,3,0,13,A79,F52 
T122287S,613 HOMEWOOD DRIVE,HOMEWOOD,260000,2091,3,2,0,13,A24,F177 
R123960S,988 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,260000,2366,4,2,1,22,A33,F177 
R117207S,416 FRONTIER CIRCLE,SOLAMERE,260000,2486,4,2,1,35,A47,F406 
N117381S,2364 SNOWSHILL LANE,COTSWOLDS,259908,2638,4,2,1,0,A81,F155 
R116943S,325 CARY DRIVE,CARY WOODS,259900,1950,3,2,0,10,A47,F406 
R122947S,1250 GROVE PARK DRIVE,GROVE HILL,259900,2046,4,2,1,21,A28,F177 
R122249S,353 LIGHTNESS DRIVE,SOLAMERE PHASE 3,259900,2541,4,2,1,23,A141,F516 
N119413S,805 W RICHLAND CIRCLE,WEST RICHLAND,259900,2587,4,2,1,24,A91,F529 
O119088S,147 DEBARDELEBEN,THE LEX,259900,966,2,2,0,91,A92,F278 
N117152S,926 STARR COURT,ROSEMARY GATE SUBDIVISION,259900,2246,3,2,1,286,A130,F490 
R125371S,308 FRONTIER CIRCLE,SOLAMERE PHASE 3,259800,2360,4,2,1,13,A142,F155 
N120569S,2477 SNOWSHILL LANE,COTSWOLDS,259714,2638,4,2,1,0,A81,F155 
T120912S,1308 GATEWOOD DRIVE,OXLEY MANOR,259500,2232,4,3,1,4,A55,F39 
N117631S,713 SHELTON COVE LANE,SHELTON COVE,259200,2615,4,2,1,0,A53,F96 
R117759S,2065 MOHICAN DRIVE,PRESERVE,259000,2480,4,2,1,4,A15,F516 
R117267S,1375 & 1385 COUNTY ROAD 477,NONE,259000,1787,3,2,0,16,A4,F312 
N116753S,1645 Overhill COURT,HIGHLANDS,259000,1869,3,2,0,172,A8,F96 
R120593S,1887 HILLTON COURT,ASHETON PARK,258970,2822,4,2,1,9,A17,F0 
N120889S,1185 WEATHERFORD STREET,GROVE HILL,258686,2358,4,2,1,6,A44,F476 
R119313S,1764 PHILMORE COURT,CAMDEN RIDGE,257500,1843,3,2,0,9,A70,F52 
N117854S,686 SHELTON COVE LANE,SHELTON COVE,257500,1868,3,2,0,155,A53,F96 
R122558S,139 DENALI LANE,SOLAMERE,257400,2360,4,3,0,7,A28,F177 
N119291S,2493 SNOWSHILL LANE,COTSWOLDS,257296,2101,3,2,1,0,A81,F155 
N117628S,734 SHELTON COVE LANE,SHELTON COVE,257133,1946,3,2,0,0,A53,F96 
N124067S,695 SHELTON COVE LANE,SHELTON COVE,257090,2213,4,3,1,0,A53,F96 
S119475S,1405 SHERIDAN GLEN   CROSSING,ROSEMARY GATE SUBDIVISION,257090,2347,4,3,0,56,A49,F177 
N119019S,810 W RICHLAND CIRCLE,WEST RICHLAND,257000,2347,4,2,1,25,A91,F529 
R117770S,1768 KENAI  PASS,SOLAMERE PHASE 3,257000,2650,5,3,0,33,A129,F132 
R122547S,3573 RIDGEVIEW COURT,MILL CREEK,257000,2400,4,3,0,81,A143,F413 
N117137S,1016 Starr COURT,ROSEMARY GATE SUBDIVISION,257000,2246,3,2,1,205,A130,F490 
N117680S,2393 SNOWSHILL LANE,COTSWOLDS,256992,2638,4,2,1,0,A84,F155 
N120709S,2394 SNOWSHILL LANE,COTSWOLDS,256561,2350,3,3,0,0,A84,F155 
R120723S,1679 OVERHILL COURT,HIGHLANDS,256500,2341,3,2,1,8,A24,F177 
N115396S,2047 Mohican DRIVE,PRESERVE,256408,2082,4,2,1,1,A53,F96 
R119015S,913 S DEAN ROAD S,COLONIAL ESTATES,256000,2296,4,2,0,53,A30,F278 
N115203S,2087 MOHICAN DRIVE,PRESERVE,255413,2485,4,2,1,57,A53,F96 
R119037S,284 SOLAMERE LANE,SOLAMERE PHASE 3,255000,2724,4,3,1,0,A144,F360 
R120966S,2555 SALFORD STREET,COTSWOLDS,255000,2500,4,2,0,6,A138,F39 
R120936S,1700 MUIR DRIVE,STONE CREEK,255000,2195,4,2,1,9,A8,F96 
C122271S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,255000,1404,4,4,0,22,A17,F0 
R122312S,2602 MIMMS LANE,MIMMS TRAIL,255000,1871,3,2,0,38,A109,F439 
R122539S,1816 PIEDMONT DRIVE,CAMDEN RIDGE,255000,2430,4,3,0,68,A8,F96 
R119072S,995 STARR COURT,ROSEMARY GATE SUBDIVISION,255000,2430,4,3,0,82,A8,F96 
N117768S,2554 SALFORD DRIVE,COTSWOLDS,254900,2394,4,2,1,21,A91,F529 
R119307S,671 ANDERS COURT,SAUGAHATCHEE PINES,254000,2250,4,3,0,48,A47,F406 
R120759S,1764 KENAI PASS,SOLAMERE,253000,2710,4,3,0,73,A24,F177 
N119000S,2310 SNOWSHILL LANE,COTSWOLDS,252896,2350,3,3,0,0,A84,F155 
R122613S,739 SHERWOOD DRIVE,BAILEY,252500,2145,3,2,0,2,A145,F360 
R117020S,514 N Donahue DRIVE,MCLEOD,252500,2504,4,3,0,25,A146,F118 
R124069S,697 ANDERS COURT,SAUGAHATCHEE PINES,252000,2368,4,3,1,17,A23,F177 
N117903S,2670 SOPHIA WAY,TUSCANY HILLS,252000,2196,4,2,1,105,A43,F174 
N122701S,2482 SNOWSHILL LANE,COTSWOLDS,251379,2101,3,2,1,39,A147,F545 
R117410S,345 Yukon DRIVE,SOLAMERE PHASE 3,251000,2246,4,2,1,161,A53,F96 
N117109S,2476 SNOWSHILL LANE,COTSWOLDS,250899,2681,4,2,1,0,A81,F155 
N118985S,2382 SNOWSHILL LANE,COTSWOLDS,250415,2367,3,2,1,0,A84,F155 
N117783S,2417 SNOWSHILL LANE,COTSWOLDS,250400,2367,3,2,1,0,A84,F155 
N122700S,2494 SNOWSHILL LANE,COTSWOLDS,250399,2164,3,2,1,11,A147,F545 
N120733S,1304 TULIP COURT,GARDENS AT GATEWOOD,250200,2696,5,2,1,0,A17,F0 
R120804S,1866 SHADOW BEND LANE,CAMDEN RIDGE,250000,1977,3,2,1,28,A148,F524 
R124114S,524 JASMINE LANE,MOORES MILL,250000,2010,3,2,0,44,A60,F155 
R119330S,525 COLEMAN COURT,MOORES MILL,250000,1934,3,2,0,54,A14,F96 
T117218S,982 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,250000,2574,4,3,1,55,A56,F177 
R115455S,1246 Whisper Ridge ROAD,SERENITY,250000,2136,4,2,0,168,A79,F52 
R117389S,148 Solamere LANE,SOLAMERE,250000,2333,4,3,0,285,A139,F39 
N120532S,826 W RICHLAND CIRCLE,WEST RICHLAND,249900,2347,4,2,1,2,A91,F529 
N117096S,2469 SNOWSHILL LANE,COTSWOLDS,249814,2146,4,2,0,0,A84,F155 
N117706S,2365 SNOWSHILL LANE,COTSWOLDS,249717,2133,4,2,0,0,A84,F155 
R122898S,266 CONREY DRIVE,GLEN HAVEN,249501,2189,4,2,1,1,A48,F155 
R124035S,641 DEER RUN ROAD,LUNDY CHASE,249500,2145,4,2,0,6,A149,F52 
R120839S,437 DUMAS DRIVE,DUMAS,249500,1550,3,2,0,10,A43,F174 
N117264S,2442 SNOWSHILL LANE,COTSWOLDS,249443,2146,4,2,0,1,A84,F155 
R119206S,1223 E SAMFORD AVENUE,GLEN HAVEN,249000,1774,4,2,1,3,A140,F360 
R119490S,648 BELMONTE DRIVE,MILL CREEK,249000,1875,3,2,0,12,A14,F96 
N117327S,1581 NORTH CAMDEN DRIVE,DONAHUE RIDGE,248599,2695,4,2,1,5,A99,F96 
N117154S,970 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,248500,2252,3,2,1,39,A130,F490 
R125338S,575 HEARD AVENUE,HEARD,248000,1742,3,2,0,3,A70,F52 
N117617S,2441 SNOWSHILL LANE,COTSWOLDS,247555,2367,3,2,1,0,A84,F155 
N116887S,2485 SNOWSHILL LANE,COTSWOLDS,247299,2164,3,2,1,111,A84,F155 
R122223S,1980 SAINT JOHN COURT,WRIGHTS MILL ESTATES,247000,1854,4,2,0,4,A150,F155 
R120756S,7477 STONEWALL ROAD,P-PATCH,247000,2360,3,2,0,62,A88,F52 
C121135S,730 W MAGNOLIA AVENUE,EDGE WEST CONDOMINIUMS,246500,1175,3,3,0,6,A149,F52 
R117842S,2438 DEER RUN COURT,LUNDY CHASE,246000,2138,4,2,0,10,A133,F516 
R117354S,2238 Riverwood DRIVE,MOORES MILL,246000,1944,4,3,0,108,A55,F39 
N117371S,2355 SNOWSHILL LANE,COTSWOLDS,245999,2146,4,2,0,5,A72,F155 
N119295S,2429 SNOWSHILL LANE,COTSWOLDS,245843,2146,4,2,0,0,A72,F155 
N117156S,959 PEMBROKE PLACE,ROSEMARY GATE SUBDIVISION,245600,2180,3,2,1,99,A130,F490 
R122281S,631 DEER RUN ROAD,LUNDY CHASE,245500,2128,4,2,0,5,A149,F52 
N114340S,1593 NORTH CAMDEN DRIVE,DONAHUE RIDGE,245099,2527,4,2,1,177,A81,F155 
N117265S,2405 SNOWSHILL LANE,COTSWOLDS,245032,1861,3,2,0,6,A81,F155 
R120719S,131 S RYAN STREET,YARBROUGH SPRINGS,245000,1283,3,2,0,1,A14,F96 
R117597S,718 QUEENS WAY,CHARLESTON PLACE,245000,1931,3,2,1,1,A8,F96 
R119114S,2335 TUSCANY PLACE,TIVOLI,245000,1917,3,2,0,2,A151,F52 
R122850S,200 WILLOW CREEK ROAD,WILLOW CREEK FARMS,245000,2644,4,3,0,10,A8,F96 
R117179S,465 Dumas DRIVE,DUMAS,245000,1942,4,2,0,13,A3,F278 
R119063S,348 BELMONTE DRIVE,MILL CREEK,245000,1995,4,2,1,16,A53,F96 
R117486S,1727 POST OAK COURT,CAMDEN RIDGE,245000,2200,3,2,0,20,A70,F52 
R122906S,944 STARR COURT,ROSEMARY GATE SUBDIVISION,245000,2076,3,2,1,27,A8,F96 
R122873S,1632 N CAMDEN COURT,DONAHUE RIDGE,245000,2548,4,2,1,42,A48,F155 
N119383S,763 COTSWOLD WAY,COTSWOLDS,244900,2347,4,2,1,5,A91,F529 
R117623S,119 CARRIAGE HOUSE LANE,WOODLAND PARK,244900,2483,4,3,1,13,A81,F155 
R116972S,2548 Salford STREET,COTSWOLDS,244900,2224,4,2,0,31,A152,F128 
R114528S,306 BIBB AVENUE,PICKWOOD,244900,2224,3,2,0,210,A53,F96 
N117681S,2399 SNOWSHILL LANE,COTSWOLDS,244544,2191,4,2,0,0,A81,F155 
N117915S,2435 SNOWSHILL LANE,COTSWOLDS,244369,2363,3,2,1,0,A84,F155 
R117202S,906 BIBB AVENUE,PICKWOOD,243900,3276,3,2,1,11,A4,F312 
P121020S,2406 SNOWSHILL LANE,COTSWOLDS,243549,2191,4,2,0,0,A81,F155 
R117784S,1215 JENKINS,HEAD ESTATES,243000,2339,4,3,0,4,A80,F52 
N117303S,2436 SNOWSHILL LANE,COTSWOLDS,242863,2191,4,2,0,0,A84,F155 
N118948S,2388 SNOWSHILL LANE,COTSWOLDS,242698,2191,4,2,0,0,A84,F155 
R117577S,1883 QUAIL HOLLOW,CAMDEN RIDGE,242500,2150,3,2,0,247,A80,F52 
N119112S,1545 NORTH CAMDEN DRIVE,DONAHUE RIDGE,242357,2358,4,2,1,1,A99,F96 
R119151S,4943 HEATH ROAD,HEATH LANE,242000,2142,3,2,1,121,A104,F177 
R122704S,345 WILSON STREET,GRANITE HILLS,241900,1844,3,2,0,4,A128,F155 
N117018S,1569 NORTH CAMDEN DRIVE,DONAHUE RIDGE,241588,2550,4,2,1,66,A99,F96 
N116759S,2462 SNOWSHILL LANE,COTSWOLDS,241433,1923,3,2,0,1,A84,F155 
N117370S,2424 SNOWSHILL LANE,COTSWOLDS,241278,2191,4,2,0,0,A81,F155 
N116888S,2489 SNOWSHILL LANE,COTSWOLDS,240574,2100,3,2,1,205,A81,F155 
N118981S,2334 SNOWSHILL LANE,COTSWOLDS,240348,2191,4,2,0,0,A81,F155 
N116569S,2445 SNOWSHILL LANE,COTSWOLDS,240205,2192,4,2,0,1,A84,F155 
R122200S,4167 TROTTERS COURT,WOODLAND PARK,240000,1857,4,2,0,6,A153,F406 
R117766S,327 DEER RUN ROAD,WILLOW CREEK FARMS,240000,3333,4,3,0,14,A154,F96 
N116752S,1649 Overhill COURT,HIGHLANDS,240000,1760,3,2,0,146,A8,F96 
N117641S,2376 SNOWSHILL LANE,COTSWOLDS,239927,2191,4,2,0,0,A84,F155 
R125223S,1804 KENNESAW LANE,CAMDEN RIDGE,239901,2000,3,2,1,4,A132,F132 
R125261S,1024 STARR COURT,ROSEMARY GATE SUBDIVISION,239900,1885,3,2,0,2,A4,F312 
R119134S,1731 VFW ROAD,GROVE HILL,239900,1831,4,2,0,6,A70,F52 
N122874S,629 ANDERS COURT,SAUGAHATCHEE PINES,239900,2013,4,2,1,13,A39,F360 
R122920S,1122 ELKINS DRIVE,UNIVERSITY ESTATES,239900,1842,4,2,0,33,A4,F312 
R117840S,349 LIGHTNESS DRIVE,SOLAMERE PHASE 3,239900,2638,4,2,1,49,A155,F171 
R117228S,518 N Donahue DRIVE,MCLEOD,239000,1753,4,3,0,1,A146,F118 
R122321S,930 STARR COURT,ROSEMARY GATE SUBDIVISION,239000,1860,3,2,0,44,A156,F52 
O117182S,147 DEBARDELEBEN,THE LEX,239000,966,2,2,0,89,A92,F278 
N116907S,2461 SNOWSHILL LANE,COTSWOLDS,238913,2191,4,2,0,1,A84,F155 
R120813S,2366 MORGAN DRIVE,MORGAN HILLS,238000,1891,3,2,0,5,A23,F177 
R120725S,3892 FALCON CREST COURT,MILL CREEK,238000,1774,3,2,0,22,A24,F177 
N115139S,1265 TULIP COURT,GARDENS AT GATEWOOD,238000,2448,4,2,1,151,A16,F360 
N117865S,2473 SNOWSHILL LANE,COTSWOLDS,237876,1924,3,2,0,0,A81,F155 
N115492S,2449 SNOWSHILL LANE,COTSWOLDS,237538,2191,4,2,0,5,A84,F155 
N116924S,2457 SNOWSHILL LANE,COTSWOLDS,237530,2022,3,2,0,1,A84,F155 
R121205S,3648 HAWTHORNE COURT,MILL CREEK,237500,1761,3,2,0,7,A157,F177 
R118962S,425 CARY DRIVE,CARY WOODS,237500,2051,3,2,1,11,A158,F15 
R120672S,2174 AUTUMN RIDGE WAY,AUTUMN RIDGE,237500,2003,3,2,0,17,A110,F360 
N116729S,2470 SNOWSHILL LANE,COTSWOLDS,237353,2191,4,2,0,1,A84,F155 
R119128S,1815 KENNESAW LANE,CAMDEN RIDGE,237000,1965,3,2,0,4,A8,F96 
R117708S,655 BELMONTE DRIVE,MILL CREEK,237000,1926,3,2,1,48,A24,F177 
T116651S,613 HOMEWOOD DRIVE,HOMESTEAD,237000,2091,3,2,0,200,A24,F177 
N119188S,2328 SNOWSHILL LANE,COTSWOLDS,236277,1924,3,2,0,0,A84,F155 
R118974S,2331 MORGAN DRIVE,MORGAN HILLS,236000,2175,4,3,0,72,A158,F15 
R117644S,2667 SOPHIA WAY,TUSCANY HILLS,236000,2000,3,2,0,132,A43,F174 
S120930S,1358 S DONAHUE DRIVE,THE ROW,235998,1783,3,3,1,3,A6,F96 
N115567S,2448 SNOWSHILL LANE,COTSWOLDS,235784,2146,4,2,0,1,A81,F155 
N116756S,2453 SNOWSHILL LANE,COTSWOLDS,235641,1861,3,2,0,1,A81,F155 
R119191S,1601 OVERHILL COURT,HIGHLANDS,235500,2083,3,3,0,29,A21,F516 
R124062S,1517 REYNOLDS DRIVE,STONE CREEK,235000,1884,3,2,1,1,A88,F52 
R119219S,2220 AUTUMN RIDGE WAY,AUTUMN RIDGE,235000,2025,4,3,0,5,A79,F52 
R120651S,625 E SAMFORD AVENUE,PINEVIEW,235000,1424,3,2,0,6,A159,F52 
R117192S,1861 SHADOW BEND LANE,CAMDEN RIDGE,235000,1959,3,2,0,32,A12,F177 
N113369S,1258 AUBIE DRIVE,GARDENS AT GATEWOOD,235000,2700,4,2,1,421,A16,F360 
N126545S,378 LIGHTNESS DRIVE,SOLAMERE PHASE 3,234900,2012,3,2,1,1,A123,F529 
S122507S,1364 S DONAHUE DRIVE,THE ROW,234900,1783,3,3,1,15,A6,F96 
N118937S,414 LIGHTNESS LANE,SOLAMERE PHASE 3,234900,2054,3,2,1,19,A91,F529 
S122509S,1360 S DONAHUE DRIVE,THE ROW,234900,1783,3,3,1,26,A6,F96 
S122508S,1362 S DONAHUE DRIVE,THE ROW,234900,1783,3,3,1,26,A6,F96 
R117600S,2101 FELICITY LANE,DONAHUE RIDGE,234900,2335,4,2,1,28,A144,F360 
S122506S,1366 S DONAHUE DRIVE,THE ROW,234900,1783,3,3,1,29,A6,F96 
S122505S,1368 S DONAHUE DRIVE,THE ROW,234900,1783,3,3,1,29,A6,F96 
R117886S,1036 E UNIVERSITY DRIVE,UNIVERSITY ESTATES,234500,2071,3,2,1,11,A160,F132 
R116590S,1641 Overhill COURT,HIGHLANDS,234500,2121,4,2,0,67,A8,F96 
N115547S,2465 SNOWSHILL LANE,COTSWOLDS,234249,2191,4,2,0,1,A84,F155 
R118976S,305 BRIAR CREEK CIRCLE,PINE HILL,234000,2002,4,2,1,46,A161,F155 
R117353S,1123 GRAYTON COURT,GROVE HILL,234000,1930,3,2,0,116,A47,F406 
N118988S,2322 SNOWSHILL LANE,COTSWOLDS,233983,1862,3,2,0,0,A84,F155 
R119501S,1246 GROVE PARK PARK,GROVE HILL,232000,1774,3,2,0,3,A103,F508 
R117246S,817 Tacoma DRIVE,SHELTON WOODS,232000,2127,4,2,0,4,A142,F155 
R117598S,1024 STARR COURT,ROSEMARY GATE SUBDIVISION,232000,1868,3,2,0,6,A16,F360 
R125408S,2718 SOPHIA WAY,TUSCANY HILLS,232000,1846,3,2,0,7,A8,F96 
R121094S,934 STARR COURT,ROSEMARY GATE SUBDIVISION,232000,1662,3,2,0,27,A57,F177 
N118939S,390 LIGHTNESS DRIVE,SOLAMERE PHASE 3,231600,1991,3,2,1,14,A91,F529 
R121070S,186 VALENTINO COURT,TIVOLI,231100,1704,3,2,0,26,A162,F177 
N117334S,2430 SNOWSHILL LANE,COTSWOLDS,231039,1924,3,2,0,0,A81,F155 
R117583S,124 Willow Creek ROAD,WILLOW CREEK FARMS,230500,2382,4,3,0,47,A43,F174 
C120874S,233 W GLENN AVENUE,EAGLE POINT CONDOS,230000,1150,3,2,0,1,A56,F177 
R120910S,730 BERRY LANE,GROVE HILL,230000,1730,3,2,0,4,A24,F177 
R116663S,110 N Cedarbrook DRIVE,CARY WOODS,230000,1925,4,2,0,6,A163,F508 
R122335S,401 GREEN STREET,UNIVERSITY ESTATES,230000,2358,4,2,0,9,A8,F96 
R119038S,1525 REYNOLDS DRIVE,STONE CREEK,230000,1850,3,2,1,53,A164,F312 
R116638S,204 WOODFIELD DRIVE,WOODFIELD,230000,1841,3,2,1,53,A75,F177 
R122457S,674 CARPENTER WAY,GROVE HILL,230000,2000,3,2,1,80,A165,F177 
R114595S,2161 WEDGEWOOD COURT,CAMDEN RIDGE,230000,2225,4,2,1,268,A166,F286 
R116950S,1682 S Camden COURT,CAMDEN RIDGE,229999,1869,3,2,0,5,A53,F96 
N117624S,2452 SNOWSHILL LANE,COTSWOLDS,229947,1923,3,2,0,13,A81,F155 
R119122S,254 CARTER STREET,GLEN HAVEN,229900,2879,4,2,0,2,A167,F52 
S119369S,1374 S DONAHUE DRIVE,THE ROW,229900,1783,3,3,1,7,A6,F96 
S117796S,1376 S DONAHUE DRIVE,THE ROW,229900,1783,3,3,1,47,A6,F96 
S119481S,1372 S DONAHUE DRIVE,THE ROW,229900,1783,3,3,1,51,A6,F96 
S121006S,1370 S DONAHUE DRIVE,THE ROW,229900,1783,3,3,1,71,A6,F96 
R116867S,2163 TURNBURY LANE,SHELTON COVE,229900,1913,3,2,1,211,A70,F52 
S119474S,1415 SHERIDAN GLEN   CROSSING,ROSEMARY GATE SUBDIVISION,229403,1808,3,3,0,57,A49,F177 
R121001S,430 CROSS CREEK ROAD,WILLOW CREEK FARMS,229000,2193,3,2,1,2,A88,F52 
R120609S,569 HUDSON TERRACE,PEACEFUL VISTAS,229000,1399,3,2,0,31,A118,F155 
R115128S,1724 DENALI COURT,SOLAMERE,229000,2164,3,2,1,184,A15,F516 
N120582S,2316 SNOWSHILL LANE,COTSWOLDS,228402,1908,3,2,0,0,A84,F155 
N116615S,2466 SNOWSHILL LANE,COTSWOLDS,228128,1861,3,2,0,1,A81,F155 
R122416S,742 LUNDY CHASE DRIVE,LUNDY CHASE,228000,1774,3,2,0,72,A15,F516 
R121058S,796 STANTON DRIVE,GROVE HILL,227500,1744,3,2,0,5,A168,F278 
R118956S,1759 POST OAK COURT,CAMDEN RIDGE,227000,1812,3,2,0,60,A15,F516 
C126556S,402 W GLENN AVENUE,B. B. BROWNSTONE,225000,1044,2,2,0,0,A17,F0 
R117647S,128 EASTWOOD STREET,GLEN HAVEN,225000,2722,3,3,0,5,A8,F96 
C126521S,650 DEKALB STREET,CREEKSIDE,225000,1860,4,4,0,6,A43,F174 
C119364S,129 N DONAHUE DRIVE,AUBURN GAME DAY CTR,225000,784,2,1,0,6,A169,F39 
O117099S,147 DEBARDELEBEN,THE LEX,225000,966,2,2,0,8,A92,F278 
N122325S,398 LIGHTNESS DRIVE,SOLAMERE PHASE 3,225000,2012,3,2,1,21,A123,F529 
R125344S,1278 AUBIE DRIVE,GARDENS AT GATEWOOD,225000,2083,3,2,1,23,A5,F360 
R122598S,705 BERRY LANE,GROVE HILL,225000,1708,3,2,0,46,A89,F177 
R119299S,1327 N COLLEGE STREET,CEDAR BROOK,225000,1956,4,2,0,63,A168,F278 
N112024S,1624 OVERHILL COURT,HIGHLANDS,225000,2077,3,3,0,521,A39,F360 
N116942S,633 ANDERS COURT,SAUGAHATCHEE PINES,224900,1850,3,2,1,7,A39,F360 
N113792S,655 ANDERS COURT,SAUGAHATCHEE PINES,224900,1859,3,3,0,246,A39,F360 
P117814S,2200 AUTUMN RIDGE WAY,AUTUMN RIDGE,224235,2241,5,2,1,61,A110,F360 
N120553S,2423 SNOWSHILL LANE,COTSWOLDS,224199,1908,3,2,0,0,A84,F155 
R115248S,1084 STERLING COURT,GROVE HILL,223900,1643,4,2,0,158,A159,F52 
C121112S,607 W GLENN AVENUE,TOWER PLACE CONDOMINIUMS,223000,1053,2,2,0,3,A98,F278 
N115254S,2156 N DONAHUE DRIVE,HIGHLANDS,223000,1700,3,2,0,135,A8,F96 
N115296S,1269 TULIP COURT,GARDENS AT GATEWOOD,223000,1900,4,2,1,416,A16,F360 
C126472S,340 N DONAHUE DRIVE,VIEW AT AUBURN CONDOMINIUMS,222500,1425,4,4,0,1,A36,F19 
R116684S,2033 Highridge LANE,CAMDEN RIDGE,222500,1878,3,2,0,28,A113,F177 
S119473S,1403 SHERIDAN GLEN   CROSSING,ROSEMARY GATE SUBDIVISION,222496,1394,2,2,0,59,A49,F177 
R116711S,1866 SUMMIT LANE,COX ROAD,222000,2510,3,2,1,20,A6,F96 
R121133S,1593 OVERHILL COURT,HIGHLANDS,222000,1752,3,2,0,71,A109,F439 
N117926S,394 LIGHTNESS LANE,SOLAMERE PHASE 3,221700,1836,4,2,1,13,A91,F529 
P115303S,1262 AUBIE DRIVE,GARDENS AT GATEWOOD,220950,1900,4,2,1,165,A16,F360 
R122410S,338 FRONTIER CIRCLE,SOLAMERE PHASE 3,220500,1895,3,2,1,7,A170,F39 
R122212S,440 LIGHTNESS DRIVE,SOLAMERE PHASE 3,220500,1755,3,3,0,32,A29,F177 
N117538S,1389 CLOVERBROOK CIRCLE,SOUTHERN EDGE,220300,1840,3,2,0,15,A99,F96 
R124015S,1083 STERLING COURT,GROVE HILL,220000,1605,3,2,0,13,A6,F96 
R122674S,1084 AMBER LANE,GROVE HILL,220000,1671,3,2,0,16,A84,F545 
C119107S,402 W GLENN AVENUE W,B. B. BROWNSTONE,220000,1044,2,2,0,22,A171,F52 
C120821S,650 DEKALB STREET,CREEKSIDE,220000,1860,4,4,0,132,A172,F451 
R117775S,312 BRIAR CREEK CIRCLE,PINE HILLS,219900,1911,4,2,1,42,A36,F19 
N115490S,2180 AUTUMN RIDGE WAY,AUTUMN RIDGE,219684,2241,5,2,1,1,A110,F360 
N116967S,1565 NORTH CAMDEN DRIVE,DONAHUE RIDGE,219638,2169,4,2,1,75,A77,F96 
C126540S,650 DEKALB STREET,CREEKSIDE,219000,1599,4,4,0,7,A22,F312 
